id,name,source_url,artist,license,license_url
chilehaus,Chilehaus (Hamburg),https://upload.wikimedia.org/wikipedia/commons/6/67/Chilehaus_Hamburg_1.jpg,,,
bauhaus-dessau,Bauhausgebäude (Dessau),https://upload.wikimedia.org/wikipedia/commons/1/1c/Dessau_Bauhaus-Geb%C3%A4ude_asv2024-06_img1.jpg,,,
weissenhofsiedlung,Weißenhofsiedlung (Stuttgart),https://upload.wikimedia.org/wikipedia/commons/5/50/Weissenhof-Luftbild-2004.01.jpg,,,
villa-savoye,Villa Savoye (Poissy),https://upload.wikimedia.org/wikipedia/de/a/af/Villa_Savoye_2015.jpg,,,
deutscher-pavillon-barcelona,Deutscher Pavillon (Barcelona, 1929 – Rekonstruktion),https://upload.wikimedia.org/wikipedia/commons/4/4b/Pabell%C3%B3n_Alemania.jpg,,,
villa-tugendhat,Villa Tugendhat (Brünn),https://upload.wikimedia.org/wikipedia/commons/9/9c/VT16_PD_zahrada.jpg,,,
villa-schminke,Villa Schminke (Löbau),https://upload.wikimedia.org/wikipedia/commons/c/cc/Haus_Schminke_L%C3%B6bau.JPG,,,
fallingwater,Fallingwater (Mill Run, PA),https://upload.wikimedia.org/wikipedia/commons/b/bc/Fallingwater3.jpg,,,
haus-kaufmann-palm-springs,Haus Kaufmann (Palm Springs),https://upload.wikimedia.org/wikipedia/commons/0/0c/Kaufman_House_Palm_Springs.jpg,,,
neue-nationalgalerie,Neue Nationalgalerie (Berlin),https://upload.wikimedia.org/wikipedia/commons/c/c7/Berlin_Neue_Nationalgalerie_asv2021-11_img1.jpg,,,
lever-house,Lever House (New York),https://upload.wikimedia.org/wikipedia/commons/c/c7/Lever_House_390_Park_Avenue.jpg,,,
seagram-building,Seagram Building (New York),https://upload.wikimedia.org/wikipedia/commons/9/99/Seagram_Building_%2835098307116%29.jpg,,,
unite-dhabitation-berlin,Unité d’Habitation (Berlin, modifiziert),https://upload.wikimedia.org/wikipedia/commons/0/09/Ek-brosch%C3%BCre.JPG,,,
stadthalle-bremen,Stadthalle (Bremen),https://upload.wikimedia.org/wikipedia/commons/d/d9/%C3%96VB-Arena.jpg,,,
gedaechtniskirche-neubau-berlin,Kaiser-Wilhelm-Gedächtniskirche – Neubau,https://upload.wikimedia.org/wikipedia/commons/f/fd/Ged%C3%A4chtniskirche1.JPG,,,
olivetti-tuerme-frankfurt,Olivetti-Türme (Frankfurt a. M.),https://upload.wikimedia.org/wikipedia/commons/f/fe/Olivetti_logo_%282021-present%29.svg,,,
deutscher-pavillon-auf-der-expo-1967-in-montreal,Deutscher Pavillon – EXPO 1967 (Montreal),https://upload.wikimedia.org/wikipedia/commons/f/f6/Plan_souvenir_officiel_Expo_67_%28recompos%C3%A9%29.jpg,,,
sony-building-new-york,Sony Building (New York),https://upload.wikimedia.org/wikipedia/commons/d/d5/Sony_Building_by_David_Shankbone_crop.jpg,,,
centre-pompidou,Centre Pompidou (Paris),https://upload.wikimedia.org/wikipedia/commons/2/27/Le_logo_du_Centre_Pompidou_redessin%C3%A9_en_2019_%285_bandes%29.svg,,,
school-of-architecture-houston,School of Architecture (University of Houston),https://upload.wikimedia.org/wikipedia/commons/6/65/Texas_A%26M_University_2021_logo.svg,,,
hsbc-building-hongkong,HSBC Building (Hongkong),https://upload.wikimedia.org/wikipedia/commons/d/d0/HSBC_Building_Hong_Kong.jpg,,,
